series_animedb_id,Anime Title,Anime Type,Episode Count,Watched Episodes,My Start Date,My Finish Date,My Score,My Status,Tags
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,12,04-10-2020,19-12-2020,7,Completed,Eh? its not funny anymore....
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11,11,21-07-2022,29-09-2022,8,Completed,
53111,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV,11,11,06-01-2023,16-03-2023,8,Completed,
57066,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,TV,15,1,03-10-2024,0000-00-00,0,Watching,
41361,Eiga Daisuki Pompo-san,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
53130,Eisen Flügel,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
39792,Eizouken ni wa Te wo Dasu na!,TV,12,12,12-01-2020,23-03-2020,9,Completed,"While shirobako shows the more professional, exhausting and tense life style of a person working in the anime industry, eizouken shows the more fun side you experience making anime while still in school with all the stress still present(Japan only)"
37033,Emiya-san Chi no Kyou no Gohan,ONA,13,13,08-06-2020,09-06-2020,9,Completed,
38671,Enen no Shouboutai,TV,24,24,06-07-2019,29-12-2019,7,Completed,Episode 3 was delayed due to fire at kyoto animation first studio
40956,Enen no Shouboutai: Ni no Shou,TV,24,24,06-07-2020,13-12-2020,8,Completed,
51818,Enen no Shouboutai: San no Shou,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
59229,Enen no Shouboutai: San no Shou Part 2,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
34662,Fate/Apocrypha,TV,25,25,03-06-2020,07-06-2020,7,Completed,
44248,Fate/Grand Carnival,OVA,4,2,07-01-2021,0000-00-00,0,On-Hold,
38085,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,Movie,1,1,07-06-2021,07-06-2021,7,Completed,
38086,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Movie,1,1,01-03-2022,01-03-2022,8,Completed,
41497,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Movie,1,1,02-03-2022,02-03-2022,8,Completed,
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21,21,14-06-2020,18-06-2020,9,Completed,
